자동차검사소명,자동차검사소유형,소재지도로명주소,소재지지번주소,위도,경도,검사소전화번호,운영시간,검사진로수,부지면적,건물면적,검사기술인력수,신규검사여부,정기검사여부,튜닝검사여부,임시검사여부,수리검사여부,배출가스정밀검사여부,택시미터검정여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
1급마스타자동차공업사,민간,인천광역시 서구 백범로 954 (가좌동),,37.48959093,126.6538619,032-573-8300,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
모던모터스,민간,인천광역시 서구 염곡로 59 (가좌동),,37.49036314,126.6637371,032-576-1566,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
㈜뉴종합1급공업사,민간,인천광역시 서구 봉수대로277번길 3 (석남동),,37.50033388,126.6609532,032-579-0330,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
대원자동차공업㈜,민간,인천광역시 서구 칠천왕로 36 (석남동),,37.50958348,126.6719344,032-575-7001,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
길현대1급자동차공업사,민간,인천광역시 서구 거북로 10 (석남동),,37.50330004,126.6628316,032-572-7303,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
광일자동차정비공업사,민간,인천광역시 서구 원당대로507번길 3 (왕길동),,37.59292542,126.6571747,032-563-2332,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
㈜현대종합정비,민간,인천광역시 서구 드림로 178 (백석동),,37.58253895,126.6590242,032-567-6211,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,N,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
용상종합정비,민간,충청북도 단양군 단양읍 단양로 957,충청북도 단양군 단양읍 상진리 211-7,36.97745528,128.3448483,043-422-2222,평일 08:30~17:30,1,4925,1273,3,N,Y,N,N,N,Y,Y,043-420-2492,충청북도 단양군청,2023-07-13,4480000,충청북도 단양군
화양자동차공업사,민간,경기도 평택시 경기대로 1050(장당동),,37.042086,127.065513,031-667-0151,9:00 ~ 18:00,1,1650,0,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
(주)포승자동차,민간,경기도 평택시 포승읍 거산길 10,,36.990056,126.858435,031-681-9777,9:00 ~ 18:00,1,1699,0,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
(주)쌍용자동차송탄정비센터,민간,경기도 평택시 칠괴길 90-11(칠괴동),,37.024673,127.079878,031-651-6418,9:00 ~ 18:00,1,6366,1272,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
거산자동차정비센타,민간,경기도 평택시 안중읍 덕우로 64,,36.996682,126.928723,031-683-4999,9:00 ~ 18:00,1,2947,654,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
비전1급자동차서비스,민간,경기도 평택시 이화로 134-1(죽백동),,37.006468,127.135699,031-653-6464,9:00 ~ 18:00,1,1775,347,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
주식회사 이맥스,민간,경기도 평택시 포승읍 포승서로 295,,37.009673,126.872840,031-683-5800,9:00 ~ 18:00,1,5555,1983,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
대진카도크센타,민간,경기도 평택시 탄현로 230(신장동),,37.073298,127.055468,031-664-3030,9:00 ~ 18:00,1,1495,0,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
(주)평택항 현대서비스,민간,경기도 평택시 포승읍 하만호길 237,,36.955358,126.850545,031-682-5803,9:00 ~ 18:00,1,3102,783,,Y,Y,N,Y,N,Y,N,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
평택자동차검사소,민간,경기도 평택시 삼남로 27-8(칠원동),,37.028881,127.098978,031-663-9119,9:00 ~ 18:00,1,1057,211,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
서석현대공업사,민간,강원도 홍천군 서석면 아미산길 40-3,,37.7188766206,128.1798179052,033-433-7910,평일:08:00~18:00+토요일:08:00~12:00,3,1487,480,1,N,Y,N,N,N,N,N,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
삼성자동차공업사,민간,,강원도 홍천군 남면 양덕원리 122,37.6115649572,127.7690208700,033-432-6432,평일:08:00~18:00+토요일:08:00~12:00,1,1341,197,1,N,Y,N,N,N,N,N,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
(유)대호자동차공업사,민간,전라북도 익산시 서동로 469,전라북도 익산시 용제동 190-1,35.94302867,126.9996453,063-835-9886,평일:09:00~18:00+토요일:09:00~13:00,1,1734,419.81,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
대훈자동차공업사(유),민간,전라북도 익산시 목천로12길 15,전라북도 익산시 인화동1가 207-4,35.92824825,126.948763,063-841-9577,평일:09:00~18:00+토요일:09:00~13:00,1,1394.9,826.84,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
대신자동차공업사,민간,전라북도 익산시 목천로10길 12,전라북도 익산시 인화동1가 202-2,35.92846053,126.9480082,063-842-6280,평일:08:30~17:30+토요일:08:30~12:00,1,1625.4,828.86,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
1급 신하림자동차공업사,민간,전라북도 익산시 함열읍 익산대로 1676-22,전라북도 익산시 함열읍 와리 42-6,36.06899854,126.9672709,063-862-2678,평일:09:00~18:00+토요일:09:00~13:00,1,3511,658.1,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
(유)제일자동차공업사,민간,전라북도 익산시 군익로 446-1,전라북도 익산시 송학동 262,35.94311165,126.9343311,063-855-0020,평일:09:00~18:00+토요일:09:00~13:00,1,3655.5,1955.95,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
동산자동차공업사,민간,전라북도 익산시 목천로6길 42,전라북도 익산시 인화동1가 206-1,35.928531,126.9496924,063-856-3800,평일:08:30~17:30+토요일:08:30~12:00,1,2650.4,771.34,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
현대자동차공업사,민간,전라북도 익산시 동서로39길 2,전라북도 익산시 영등동 261-22,35.950533,126.9720106,063-852-8597,평일:09:00~18:00+토요일:09:00~13:00,1,1970,542.1,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
(유)남성자동차공업사,민간,전라북도 익산시 동서로 341,전라북도 익산시 영등동 273-7,35.95095966,126.9708267,063-842-9435,평일:09:00~18:00+토요일:09:00~13:00,1,1864,372.9,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
백제자동차공업사,민간,전라북도 익산시 마한로 161,전라북도 익산시 어양동 412-1,35.966015,126.9821379,063-832-3900,평일:08:30~17:30+토요일:08:30~12:00,1,3414,653.86,1,N,Y,N,N,N,N,Y,063-280-3424,전라북도 교통물류도로과,2023-09-04,4680000,전라북도 익산시
광신종합자동차공업사,민간,전라남도 영광군 영광읍 백수로 1650-24,전라남도 영광군 영광읍 신하리 623,35.28169278,126.4866788,061-351-0982,09:00~18:00,1,2200,483.46,1,N,Y,N,N,N,N,N,061-350-5365,전라남도 영광군청,2023-08-22,4970000,전라남도 영광군
대한자동차공업사,민간,강원도 원주시 호저면 신무로 20,강원도 원주시 호저면 만종리 632-3,37.357914,127.900454,033-744-8299,(평일)09:00~18:00+(토)09:00~13:00,1,3897,625,1,N,Y,N,N,N,N,N,033-737-4338,강원도 원주시 차량등록사업소,2022-12-07,4190000,강원도 원주시
강원종합자동차공업사,민간,강원도 홍천군 북방면 송학정로 42,,37.6826916676,127.8593396843,033-434-0063,평일:08:30~17:30+토요일:09:00~12:00,1,6611,793,1,N,Y,N,N,N,N,Y,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
(주)한서자동차공업사,민간,강원도 홍천군 북방면 송학정로 36-13,,37.6828779154,127.8598435796,033-435-1901,평일:08:30~18:00+토요일:08:30~12:30,10,5599,1782,4,N,Y,N,N,N,N,Y,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
현대자동차공업사,민간,강원도 홍천군 홍천읍 공작산로 151,,37.6937094799,127.9074682958,033-435-6400,평일:08:00~18:00+토요일:08:00~16:00,7,1061,661,1,N,Y,N,N,N,N,Y,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
(주) 홍천자동차공업사,민간,강원도 홍천군 홍천읍 마지기로 145,,37.7023562500,127.8825048217,033-434-2425,평일:08:00~18:00+토요일:09:00~12:00,8,5818,1203,1,N,Y,N,N,N,N,Y,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
석화자동차공업사,민간,강원도 홍천군 홍천읍 마지기로 187,,37.7045767082,127.8792512749,033-435-9650,평일:08:30~18:00+토요일:08:00~16:00,1,3817,1693,1,N,Y,N,N,N,N,Y,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
1급 무주자동차공업사,민간,전라북도 무주군 무주읍 무금로 200,전라북도 무주군 무주읍 용포리 174-1,35.98776703,127.6310214,063-322-1212,08:30~17:00,7,2100,798,1,N,Y,N,Y,N,Y,Y,063-320-2368,전라북도 무주군청,2023-03-07,4740000,전라북도 무주군
삼성자동차공업사,민간,전라북도 무주군 적상면 서창로 28,전라북도 무주군 적상면 사천리 551,35.95105047,127.664695,063-324-0090,09:00~17:00,4,1000,400,1,N,Y,N,Y,N,Y,Y,063-320-2368,전라북도 무주군청,2023-03-07,4740000,전라북도 무주군
아주공업사,민간,인천광역시 계양구 아나지로 111,인천광역시 계양구 효성동 515-1,37.525767,126.704084,032-504-7888,09시~18시,1,1182.47,1182.47,8,N,Y,N,N,N,N,Y,032-450-5693,인천광역시 계양구,2023-04-27,3550000,인천광역시 계양구
동서울모터스,민간,서울특별시 중랑구 망우로55길 24(상봉동),서울특별시 중랑구 상봉동 74-7,37.59886812,127.0933242,02-496-8110,08:30~17:30,1,1303,914,4,N,Y,N,Y,N,Y,Y,02-2094-2602,서울특별시 중랑구청 교통행정과,2023-04-27,3060000,서울특별시 중랑구
대광자동차정비공업㈜,민간,서울특별시 구로구 중앙로 69,서울특별시 구로구 고척동 50-8,37.5036486,126.8615908,02-2616-1473,평일:08:30~17:30,2,1901,1901,4,N,Y,N,N,N,Y,Y,02-860-3218,서울특별시 구로구청,2023-04-27,3160000,서울특별시 구로구
공단써비스센타,민간,서울특별시 구로구 구로동로 2,서울특별시 구로구 가리봉동 124-38,37.48215178,126.887403,02-852-1233,평일:08:30~17:30,2,2362,2362,4,N,Y,N,N,N,Y,Y,02-860-3218,서울특별시 구로구청,2023-04-27,3160000,서울특별시 구로구
삼부자동차정비㈜,민간,서울특별시 구로구 경인로51길 104,서울특별시 구로구 구로동 614-48,37.503541,126.873731,02-2634-0313,평일:08:30~17:30,1,1383,1383,3,N,Y,N,N,N,Y,Y,02-860-3218,서울특별시 구로구청,2023-04-27,3160000,서울특별시 구로구
21세기 공업사,민간,강원도 삼척시 오분길 7,,37.42849756,129.1856366,033-574-2155,08:30~17:30,1,1074,65,1,N,Y,N,N,N,N,Y,033-570-3935,강원도 삼척시청,2023-04-19,4240000,강원도 삼척시
1급 우주공업사,민간,강원도 삼척시 동해대로 4174-11,,37.45388506,129.1777379,033-574-9292,08:30~17:30,1,257,104,2,N,Y,N,N,N,N,Y,033-570-3935,강원도 삼척시청,2023-04-19,4240000,강원도 삼척시
원덕자동차정비공업사,민간,강원도 삼척시 원덕읍 옥원이천로 48,,37.18264517,129.3275609,033-575-0641,09:00~18:00,1,2403,779.83,1,N,Y,N,N,N,N,N,033-570-3935,강원도 삼척시청,2023-04-19,4240000,강원도 삼척시
남해자동차종합정비,민간,경상남도 남해군 고현면 질개로 180,경상남도 남해군 고현면 도마리 1603,34.88258181,127.8843604,055-862-2693,평일(09:00~18:00),1,4074,711.2,4,Y,Y,N,N,N,N,Y,055-860-3003,경상남도 남해군청 건설교통과,2023-04-12,5430000,경상남도 남해군
주식회사 남도공업사,민간,경상남도 남해군 남해읍 남해대로 2602-10,경상남도 남해군 남해읍 입현리 1169-2,34.8268977,127.9123931,055-863-3511,평일(09:00~18:00),1,2774,714,5,Y,Y,N,N,N,N,Y,055-860-3003,경상남도 남해군청 건설교통과,2023-04-12,5430000,경상남도 남해군
주식회사 남해1급 정비검사소,민간,경상남도 남해군 남해읍 강진만로 9-16,경상남도 남해군 남해읍 입현리 1317-2,34.830666,127.9103717,055-864-3333,평일(09:00~18:00),1,3439,1336,5,Y,Y,N,N,N,N,Y,055-860-3003,경상남도 남해군청 건설교통과,2023-04-12,5430000,경상남도 남해군
구례1급자동차정비공업사,민간,전라남도 구례군 구례읍 용방로 9,전라남도 구례군 구례읍 백련리 572-2,35.21732334,127.4624660566,061-782-7171,09:00~18:00,1,2504,578,1,N,Y,N,N,N,Y,Y,061-780-2245,전라남도,2023-07-13,4870000,전라남도 구례군
1급중앙자동차공업사,민간,전라남도 구례군 구례읍 봉동길 35,전라남도 구례군 구례읍 봉동리 214,35.2100159840,127.4713985065,061-783-2255,09:00~18:00,1,661,1851,1,N,Y,N,N,N,Y,Y,061-780-2245,전라남도,2023-07-13,4870000,전라남도 구례군
21세기 공업사,민간,강원특별자치도 삼척시 오분길 7,,37.42849756,129.1856366,033-574-2155,08:30~17:30,1,1074,65,1,N,Y,N,N,N,N,Y,033-570-3935,강원특별자치도 삼척시청,2023-08-07,4241000,강원특별자치도 삼척시
1급 우주공업사,민간,강원특별자치도 삼척시 동해대로 4174-11,,37.45388506,129.1777379,033-574-9292,08:30~17:30,1,257,104,2,N,Y,N,N,N,N,Y,033-570-3935,강원특별자치도 삼척시청,2023-08-07,4241000,강원특별자치도 삼척시
원덕자동차정비공업사,민간,강원특별자치도 삼척시 원덕읍 옥원이천로 48,,37.18264517,129.3275609,033-575-0641,09:00~18:00,1,2403,779.83,1,N,Y,N,N,N,N,N,033-570-3935,강원특별자치도 삼척시청,2023-08-07,4241000,강원특별자치도 삼척시
㈜성산자동차,민간,강원특별자치도 홍천군 홍천읍 구시울1길 16,,37.6720787351,127.8541272014,033-435-2200,09:00~18:00,4,5604,1865,3,N,Y,N,N,N,N,Y,033-430-2944,강원특별자치도 홍천군청,2023-07-28,4251000,강원특별자치도 홍천군
(주)광건정비사업소,민간,강원특별자치도 홍천군 북방면 송학정로 23-40,,37.6820272681,127.8543725386,033-434-0074,09:00~18:00,5,1909,566,9,N,Y,N,N,N,N,Y,033-430-2944,강원특별자치도 홍천군청,2023-07-28,4251000,강원특별자치도 홍천군
제일자동차공업사,민간,강원특별자치도 홍천군 남면 양덕원로 183,,37.6241399294,127.7727783056,033-432-8933,09:00~18:00,3,2085,349,1,N,Y,N,N,N,N,N,033-430-2944,강원특별자치도 홍천군청,2023-07-28,4251000,강원특별자치도 홍천군
㈜성산자동차,민간,강원도 홍천군 홍천읍 구시울1길 16,,37.6720787351,127.8541272014,033-435-2200,"평일,토요일:08:00~19:00+일요일:08:00~18:00",4,5604,1865,3,N,Y,N,N,N,N,Y,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
(주)광건정비사업소,민간,강원도 홍천군 북방면 송학정로 23-40,,37.6820272681,127.8543725386,033-434-0074,평일:08:00~20:00,5,1909,566,9,N,Y,N,N,N,N,Y,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
제일자동차공업사,민간,강원도 홍천군 남면 양덕원로 183,,37.6241399294,127.7727783056,033-432-8933,평일:08:30~18:00+토요일:08:30~13:00,3,2085,349,1,N,Y,N,N,N,N,N,033-249-2765,강원도청,2023-02-14,4250000,강원도 홍천군
서부공단모터스,민간,인천광역시 서구 원당대로428번길 7 (왕길동),,37.58911578,126.6502972,032-563-8804,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
십정자동차공업사,민간,인천광역시 서구 열우물로 175 (가좌동),,37.47935346,126.6896033,032-579-9966,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
인천보링종합모터스,민간,인천광역시 서구 석남로 20 (석남동),,37.50066056,126.6638469,032-577-5222,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
㈜검단연안자동차,민간,인천광역시 서구 검단천로 363 (오류동),,37.59263635,126.6150524,032-516-2277,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
㈜효성자동차공업,민간,인천광역시 서구 봉수대로 1278 (왕길동),,37.58952745,126.6581745,032-548-8204,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
유영자동차공업㈜,민간,인천광역시 서구 봉수대로501번길 9 (원창동),,37.5201515,126.6612147,032-513-4949,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
㈜현대자동차블루핸즈서인천서비스,민간,인천광역시 서구 원석로 160 (원창동),,37.50960191,126.6423684,032-581-8601,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
클럽모터스,민간,인천광역시 서구 원당대로428번길 16 (왕길동),,37.58833525,126.6504804,032-566-7833,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
오토플러스(주),민간,인천광역시 서구 정서진로 70 (오류동),,37.55810688,126.6166448,070-4735-9221,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
성심자동차공업사,민간,인천광역시 서구 건지로250번길 82 (가좌동),,37.49181485,126.6692946,032-571-3000,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,N,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
자연환경모터스,민간,인천광역시 서구 북항로 193번길 71 (원창동),,37.50016232,126.6271023,032-579-5512,평일:09:00~18:00+토요일:09:00~13:00,1,200,100,,N,Y,N,Y,N,Y,Y,,인천광역시 택시운수과,2023-05-31,6280000,인천광역시
㈜쌍용자동차평택정비사업소,민간,경기도 평택시 경기대로 161-9(합정동),,36.986347,127.114691,031-657-7007,9:00 ~ 18:00,1,3940,1140,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
지산모터스,민간,경기도 평택시 지산로 283-6(지산동),,37.076879,127.085545,031-662-4972,9:00 ~ 18:00,1,2121,706,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
명진모터스,민간,경기도 평택시 오성면 오성산단로 25,,37.023860,126.945822,031-681-2277,9:00 ~ 18:00,1,1258,400,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
(주)태영자동차,민간,경기도 평택시 도일로 135-6(도일동),,37.053441,127.109548,031-611-2171,9:00 ~ 18:00,1,1822,422,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
청도자동차공업사,민간,경기도 평택시 경기대로 633(세교동),,37.007876,127.077744,031-654-0101,9:00 ~ 18:00,1,0,0,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
1급서평택자동차공업사,민간,경기도 평택시 포승읍 원원정길 15-17,,36.995638,126.845845,031-684-0064,9:00 ~ 18:00,1,1619,534,,Y,Y,N,Y,N,Y,N,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
(주)세교공업사,민간,경기도 평택시 은실5길 92(세교동),,37.007980,127.073306,031-651-0331,9:00 ~ 18:00,1,2792,0,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
한국지엠 평택칠용지정서비스,민간,경기도 평택시 삼남로 27-6(칠원동),,37.029460,127.099149,031-668-7575,9:00 ~ 18:00,1,1768,492,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
삼성정비 주식회사,민간,경기도 평택시 평남로 456(합정동),,36.988627,127.092032,031-657-3333,9:00 ~ 18:00,1,1229,580,,Y,Y,N,Y,N,Y,Y,031-8024-4833,경기도 평택시청 교통행정과,2023-06-30,3910000,경기도 평택시
(합)순호자동차공업사,민간,강원도 원주시 북원로 2807,강원도 원주시 태장2동 2169,37.394183,127.950270,033-747-3300,(평일)09:00~18:00+(토)09:00~12:00,1,1845,365,1,N,Y,N,N,N,N,Y,033-737-4338,강원도 원주시 차량등록사업소,2022-12-07,4190000,강원도 원주시
016소형자동차공업사,민간,강원도 원주시 흥양로 102번길 3,강원도 원주시 태장동 546-54,37.383122,127.958731,033-747-0016,(평일)09:00~18:00+(토)09:00~13:00,1,1070,331,3,Y,Y,Y,N,N,N,N,033-737-4338,강원도 원주시 차량등록사업소,2022-12-07,4190000,강원도 원주시
구일자동차공업사,민간,강원도 원주시 현충로 69,강원도 원주시 태장동 848-10,37.361734,127.953715,033-732-4230,(평일)08:30~18:00+(토)08:30~12:00,1,1588,389,1,N,Y,N,N,N,N,Y,033-737-4338,강원도 원주시 차량등록사업소,2022-12-07,4190000,강원도 원주시
신일자동차정비공업사,민간,강원도 원주시 치악로 2385,강원도 원주시 소초면 흥양리 1500,37.387619,127.978117,033-731-1391,(평일)09:00~18:00,1,990,470,1,N,Y,N,N,N,N,Y,033-737-4338,강원도 원주시 차량등록사업소,2022-12-07,4190000,강원도 원주시
동아자동차공업사,민간,강원도 원주시 호저면 신무로 9,강원도 원주시 호저면 만종리 628,37.356873,127.900699,033-735-9864,(평일)08:30~18:00+(토)08:30~13:00,1,1000,380,1,N,Y,N,N,N,N,N,033-737-4338,강원도 원주시 차량등록사업소,2022-12-07,4190000,강원도 원주시
신안전자동차공업사㈜,민간,,경기도 팔탄면 지월리 389-28,37.132367965,126.898237,000-0000-0000,09:00~18:00,1,5632,1599,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
㈜중앙고속,민간,경기도 화성시 풀무골로1,,37.20506552,127.1251996,031-379-8884,09:00~18:00,1,1500,1300,,N,Y,N,N,N,Y,N,,경기도 화성시,2023-07-05,5530000,경기도 화성시
1급화성자동차정비검사소주식회사,민간,경기도 화성시 팔탄면 서해로961,,37.14752465,126.8912958,031-351-5105,09:00~18:00,1,3608,1680.22,,N,Y,N,N,N,Y,N,,경기도 화성시,2023-07-05,5530000,경기도 화성시
화성상용서비스㈜,민간,경기도 화성시 양감면 암소고개로255-18,,37.07655148,126.9145446,031-8058-1133,09:00~18:00,1,9124,7279.85,,N,Y,N,N,N,Y,N,,경기도 화성시,2023-07-05,5530000,경기도 화성시
1급태동공업사,민간,경기도 화성시 토성로532,,37.142895,126.896367,031-353-0885,09:00~18:00,1,1435,675,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
남동탄서비스기아오토규주식회사,민간,경기도 화성시 경기동로477-5,,37.15287357,127.1237279,031-373-7000,09:00~18:00,1,1572,1572,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
1급서부자동차,민간,경기도 화성시 팔탄면 온천로98,,37.13317036,126.8637023,0507-1456-384,09:00~18:00,1,1823.84,1823.84,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
투플러스자동차정비,민간,경기도 화성시 향남읍 발안로677,,37.12509433,126.9786314,031-8055-8746,09:00~18:00,1,840,240,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
㈜우림자동차,민간,경기도 화성시 원고매로2번길30,,37.21949941,127.1044923,0507-1326-466,09:00~18:00,1,4149.63,4149.63,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
㈜쉼터서비스,민간,경기도 화성시 정남면 시청로1592,,37.17110824,126.9502182,031-366-0238,09:00~18:00,1,1771.42,1771.42,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
동탄중앙모터스,민간,경기도 화성시 장주기길 5,,37.16179022,127.0799337,0507-1471-498,09:00~18:00,1,1990,2641.3,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
병점종합자동차검사소,민간,경기도 화성시 정조로 64,,37.21759527,127.0288787,0507-1392-557,09:00~18:00,1,1363,595,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
㈜창원모터스,민간,경기도 화성시 팔탄면 푸른들판로416-53,,37.1459247,126.8989981,031-352-6500,09:00~18:00,1,3216,1211.76,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
케이디오토모빌토탈서비스㈜,민간,경기도 화성시 은행나무로23,,37.064799,126.932494,031-910-1479,09:00~18:00,1,9132,1930,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
현대동탄서비스㈜2호점,민간,경기도 화성시 효행로1338-51,,37.228691,127.068016,0507-1368-270,09:00~18:00,1,1081.1,765.4,,N,Y,N,N,N,Y,N,,경기도 화성시,2023-07-05,5530000,경기도 화성시
주식회사 카람모터스,민간,경기도 화성시 동탄지성로412번길16,,37.22940526,127.0472377,0507-1349-497,09:00~18:00,1,4521,1370.67,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
향남서비스,민간,경기도 화성시 팔탄면 덕우공단1길126,,37.1560525921,126.9265305523,031-8059-5471,09:00~18:00,1,1183,626.3,,N,Y,N,N,N,Y,Y,,경기도 화성시,2023-07-05,5530000,경기도 화성시
